0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,2,2,2
5,5,5,5,5,5,5,5,5,5,5
8,8,8,8,8,8,8,8,8,8,8
13,13,13,13,13,13,13,13,13,13,13
19,19,19,19,19,19,19,19,19,19,19
26,26,26,26,26,26,26,26,26,26,26
33,33,33,33,33,33,33,33,33,33,33
42,42,42,42,42,42,42,42,42,42,42
50,50,50,50,50,50,50,50,50,50,50
60,60,60,60,60,60,60,60,60,60,60
69,69,69,69,69,69,69,69,69,69,69
79,79,79,79,79,79,79,79,79,79,79
89,89,89,89,89,89,89,89,89,89,89
100,100,100,100,100,100,100,100,100,100,100
110,110,110,110,110,110,110,110,110,110,110
119,119,119,119,119,119,119,119,119,119,119
129,129,129,129,129,129,129,129,129,129,129
137,137,137,137,137,137,137,137,137,137,137
146,146,146,146,146,146,146,146,146,146,146
153,153,153,153,153,153,153,153,153,153,153
160,160,160,160,160,160,160,160,160,160,160
166,166,166,166,166,166,166,166,166,166,166
171,171,171,171,171,171,171,171,171,171,171
174,174,174,174,174,174,174,174,174,174,174
177,177,177,177,177,177,177,177,177,177,177
179,179,179,179,179,179,179,179,179,179,179
180,180,180,180,180,180,180,180,180,180,180
179,179,179,179,179,179,179,179,179,179,179
178,178,178,178,178,178,178,178,178,178,178
175,175,175,175,175,175,175,175,175,175,175
172,172,172,172,172,172,172,172,172,172,172
167,167,167,167,167,167,167,167,167,167,167
162,162,162,162,162,162,162,162,162,162,162
156,156,156,156,156,156,156,156,156,156,156
150,150,150,150,150,150,150,150,150,150,150
142,142,142,142,142,142,142,142,142,142,142
135,135,135,135,135,135,135,135,135,135,135
126,126,126,126,126,126,126,126,126,126,126
117,117,117,117,117,117,117,117,117,117,117
108,108,108,108,108,108,108,108,108,108,108
99,99,99,99,99,99,99,99,99,99,99
90,90,90,90,90,90,90,90,90,90,90
80,80,80,80,80,80,80,80,80,80,80
71,71,71,71,71,71,71,71,71,71,71
62,62,62,62,62,62,62,62,62,62,62
53,53,53,53,53,53,53,53,53,53,53
45,45,45,45,45,45,45,45,45,45,45
37,37,37,37,37,37,37,37,37,37,37
29,29,29,29,29,29,29,29,29,29,29
23,23,23,23,23,23,23,23,23,23,23
17,17,17,17,17,17,17,17,17,17,17
12,12,12,12,12,12,12,12,12,12,12
7,7,7,7,7,7,7,7,7,7,7
4,4,4,4,4,4,4,4,4,4,4
1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,2,2,2
5,5,5,5,5,5,5,5,5,5,5
8,8,8,8,8,8,8,8,8,8,8
13,13,13,13,13,13,13,13,13,13,13
19,19,19,19,19,19,19,19,19,19,19
26,26,26,26,26,26,26,26,26,26,26
33,33,33,33,33,33,33,33,33,33,33
42,42,42,42,42,42,42,42,42,42,42
50,50,50,50,50,50,50,50,50,50,50
60,60,60,60,60,60,60,60,60,60,60
69,69,69,69,69,69,69,69,69,69,69
79,79,79,79,79,79,79,79,79,79,79
89,89,89,89,89,89,89,89,89,89,89
100,100,100,100,100,100,100,100,100,100,100
110,110,110,110,110,110,110,110,110,110,110
119,119,119,119,119,119,119,119,119,119,119
129,129,129,129,129,129,129,129,129,129,129
137,137,137,137,137,137,137,137,137,137,137
146,146,146,146,146,146,146,146,146,146,146
153,153,153,153,153,153,153,153,153,153,153
160,160,160,160,160,160,160,160,160,160,160
166,166,166,166,166,166,166,166,166,166,166
171,171,171,171,171,171,171,171,171,171,171
174,174,174,174,174,174,174,174,174,174,174
177,177,177,177,177,177,177,177,177,177,177
179,179,179,179,179,179,179,179,179,179,179
180,180,180,180,180,180,180,180,180,180,180
179,179,179,179,179,179,179,179,179,179,179
178,178,178,178,178,178,178,178,178,178,178
176,176,176,176,176,176,176,176,176,176,176
173,173,173,173,173,173,173,173,173,173,173
170,170,170,170,170,170,170,170,170,170,170
166,166,166,166,166,166,166,166,166,166,166
161,161,161,161,161,161,161,161,161,161,161
156,156,156,156,156,156,156,156,156,156,156
150,150,150,150,150,150,150,150,150,150,150
144,144,144,144,144,144,144,144,144,144,144
137,137,137,137,137,137,137,137,137,137,137
130,130,130,130,130,130,130,130,130,130,130
122,122,122,122,122,122,122,122,122,122,122
114,114,114,114,114,114,114,114,114,114,114
106,106,106,106,106,106,106,106,106,106,106
98,98,98,98,98,98,98,98,98,98,98
90,90,90,90,90,90,90,90,90,90,90
81,81,81,81,81,81,81,81,81,81,81
73,73,73,73,73,73,73,73,73,73,73
65,65,65,65,65,65,65,65,65,65,65
57,57,57,57,57,57,57,57,57,57,57
49,49,49,49,49,49,49,49,49,49,49
42,42,42,42,42,42,42,42,42,42,42
35,35,35,35,35,35,35,35,35,35,35
29,29,29,29,29,29,29,29,29,29,29
23,23,23,23,23,23,23,23,23,23,23
18,18,18,18,18,18,18,18,18,18,18
13,13,13,13,13,13,13,13,13,13,13
9,9,9,9,9,9,9,9,9,9,9
6,6,6,6,6,6,6,6,6,6,6
3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
